agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Amtrak,Amtrak connection,Amtrak connection,65/67,From New Haven,NHV,New Haven Union Station,52,unknown,21:10,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,66,To New Haven,NHV,New Haven Union Station,2,07:24,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,86,To New Haven,NHV,New Haven Union Station,6,14:19,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,93,From New Haven,NHV,New Haven Union Station,45,unknown,11:58,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,94,To New Haven,NHV,New Haven Union Station,10,19:25,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,95,From New Haven,NHV,New Haven Union Station,42,unknown,08:43,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,SPG,Springfield,1,07:30,07:30,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,WNL,Windsor Locks,2,07:52,07:52,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,WND,Windsor,3,07:58,07:58,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,HFD,Hartford,4,08:12,08:12,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,BER,Berlin,5,08:23,08:23,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,MDN,Meriden,6,08:32,08:32,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,WFD,Wallingford,7,08:42,08:42,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,STS,New Haven - State Street,8,09:00,09:00,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,To New Haven,NHV,New Haven - Union Station,9,09:02,09:02,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,125,From New Haven,NHV,New Haven Union Station,43,unknown,09:35,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection departure from New Haven toward Penn Station; arrival endpoint/time unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,NHV,New Haven - Union Station,1,23:10,23:10,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,STS,New Haven - State Street,2,23:12,23:12,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,WFD,Wallingford,3,23:26,23:26,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,MDN,Meriden,4,23:34,23:34,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,BER,Berlin,5,23:43,23:43,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,HFD,Hartford,6,23:59,23:59,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,WND,Windsor,7,00:05,00:05,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,WNL,Windsor Locks,8,00:13,00:13,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To Hartford And Springfield,SPG,Springfield,9,00:41,00:41,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To Hartford And Springfield
Amtrak,Amtrak connection,Amtrak connection,136,To New Haven,NHV,New Haven Union Station,13,22:40,unknown,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,Hartford Line connection arrival at New Haven; opposite endpoint unknown pending full timetable
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,SPG,Springfield,1,04:10,04:10,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,WNL,Windsor Locks,2,04:35,04:35,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,WND,Windsor,3,04:41,04:41,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,HFD,Hartford,4,04:51,04:51,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,141,To New Haven,BER,Berlin,5,05:07,05:07,2026-06-22,,,weekday,2026-06-22,2026-06-09,,6-22.pdf,ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,1,To New Haven
