agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Amtrak,Amtrak connection,Amtrak connection,86,To New London,NHV,New Haven - Union Station,1,14:22,14:22,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New London
Amtrak,Amtrak connection,Amtrak connection,86,To New London,NLC,New London,9,15:06,15:06,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New London
Amtrak,Amtrak connection,Amtrak connection,93,To New Haven,NLC,New London,1,11:02,11:02,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,93,To New Haven,OSB,Old Saybrook,2,11:21,11:21,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,93,To New Haven,NHV,New Haven - Union Station,9,11:54,11:54,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,94,To New London,NHV,New Haven - Union Station,1,19:27,19:27,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New London
Amtrak,Amtrak connection,Amtrak connection,94,To New London,OSB,Old Saybrook,8,19:56,19:56,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New London
Amtrak,Amtrak connection,Amtrak connection,94,To New London,NLC,New London,9,20:13,20:13,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New London
Amtrak,Amtrak connection,Amtrak connection,137,To New Haven,NLC,New London,1,15:19,15:19,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New Haven
Amtrak,Amtrak connection,Amtrak connection,137,To New Haven,OSB,Old Saybrook,2,15:44,15:44,2026-03-29,,,weekday,2026-03-29,2026-03-17,,SLE-3_29-MNR-Schedule-Change.pdf,ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,1,To New Haven
