feed_id,service_uid,source_service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
amtrak,amtrak:102862516253,102862516253,0,1,1,1,0,0,0,2026-09-08,2026-09-10
amtrak,amtrak:206562426249,206562426249,0,0,0,0,0,1,1,2026-08-30,2026-09-06
amtrak,amtrak:106262516303,106262516303,1,1,1,1,1,0,0,2026-09-08,2026-10-30
amtrak,amtrak:106562556256,106562556256,0,0,0,0,0,1,1,2026-09-12,2026-09-13
amtrak,amtrak:106270047242,106270047242,1,1,1,1,1,0,0,2027-01-04,2027-08-30
amtrak,amtrak:306562427242,306562427242,0,0,0,0,0,1,1,2026-08-30,2027-08-30
amtrak,amtrak:103262506250,103262506250,1,0,0,0,0,0,0,2026-09-07,2026-09-07
amtrak,amtrak:100463306330,100463306330,0,0,0,1,0,0,0,2026-11-26,2026-11-26
amtrak,amtrak:100162836283,100162836283,0,0,0,0,0,1,0,2026-10-10,2026-10-10
amtrak,amtrak:106562907242,106562907242,0,0,0,0,0,1,1,2026-10-17,2027-08-30
amtrak,amtrak:106263066329,106263066329,1,1,1,1,1,0,0,2026-11-02,2026-11-25
amtrak,amtrak:106263316358,106263316358,1,1,1,1,1,0,0,2026-11-27,2026-12-24
amtrak,amtrak:106063626365,106063626365,1,1,1,1,0,0,0,2026-12-28,2026-12-31
amtrak,amtrak:106262516329,106262516329,1,1,1,1,1,0,0,2026-09-08,2026-11-25
amtrak,amtrak:100263597001,100263597001,0,0,0,0,1,0,0,2026-12-25,2027-01-01
amtrak,amtrak:200162426325,200162426325,0,0,0,0,0,1,0,2026-08-30,2026-11-21
amtrak,amtrak:106462496249,106462496249,0,0,0,0,0,0,1,2026-09-06,2026-09-06
amtrak,amtrak:100163397242,100163397242,0,0,0,0,0,1,0,2026-12-05,2027-08-30
amtrak,amtrak:106462567242,106462567242,0,0,0,0,0,0,1,2026-09-13,2027-08-30
amtrak,amtrak:100163326332,100163326332,0,0,0,0,0,1,0,2026-11-28,2026-11-28
amtrak,amtrak:106563257242,106563257242,0,0,0,0,0,1,1,2026-11-21,2027-08-30
amtrak,amtrak:100163537242,100163537242,0,0,0,0,0,1,0,2026-12-19,2027-08-30
amtrak,amtrak:106562486249,106562486249,0,0,0,0,0,1,1,2026-09-05,2026-09-06
amtrak,amtrak:106563537242,106563537242,0,0,0,0,0,1,1,2026-12-19,2027-08-30
amtrak,amtrak:106462566277,106462566277,0,0,0,0,0,0,1,2026-09-13,2026-10-04
amtrak,amtrak:100163257242,100163257242,0,0,0,0,0,1,0,2026-11-21,2027-08-30
amtrak,amtrak:106463267242,106463267242,0,0,0,0,0,0,1,2026-11-22,2027-08-30
amtrak,amtrak:109762486250,109762486250,1,0,0,0,0,1,1,2026-09-05,2026-09-07
amtrak,amtrak:106562836284,106562836284,0,0,0,0,0,1,1,2026-10-10,2026-10-11
amtrak,amtrak:106562906298,106562906298,0,0,0,0,0,1,1,2026-10-17,2026-10-25
amtrak,amtrak:106563046319,106563046319,0,0,0,0,0,1,1,2026-10-31,2026-11-15
amtrak,amtrak:106562486277,106562486277,0,0,0,0,0,1,1,2026-09-05,2026-10-04
amtrak,amtrak:100262546254,100262546254,0,0,0,0,1,0,0,2026-09-11,2026-09-11
amtrak,amtrak:106262576282,106262576282,1,1,1,1,1,0,0,2026-09-14,2026-10-09
amtrak,amtrak:106262856317,106262856317,1,1,1,1,1,0,0,2026-10-12,2026-11-13
