canonical_station_id,station_name
ABERDEEN_AMT,Aberdeen Amtrak Station
ALEXANDRIA,Alexandria
ASHLAND_AMTR,Ashland Amtrak
BALTIMORE_PE,Baltimore Penn Station
BELLOWS_FALL,Bellows Falls Amtrak Station
BER,Berlin
BOSTON,Boston
BRATTLEBORO_,Brattleboro Amtrak Station
BRP,Bridgeport
BURKE_CENTRE,Burke Centre Amtrak
BWI_THURGOOD,Bwi Thurgood Marshall Airport Station
CHARLOTTESVI,Charlottesville
CLAREMONT_AM,Claremont Amtrak
CULPEPER_AMT,Culpeper Amtrak Station
ESSEX_JUNCTI,Essex Junction-Burlington Amtrak Station
FREDERICKSBU,Fredericksburg Amtrak
GREENFIELD_A,Greenfield Amtrak Station
HFD,Hartford
HOLYOKE_AMTR,Holyoke Amtrak
KINGSTON_AMT,Kingston Amtrak Station
LYNCHBURG,Lynchburg
MANASSAS_AMT,Manassas Amtrak Station
MDN,Meriden
METROPARK_AM,Metropark Amtrak Station
MONTPELIER_B,Montpelier-Berlin Amtrak Station
MYS,Mystic
NEWARK,Newark
NEWARK_AMTRA,Newark Amtrak
NEWARK_LIBER,Newark Liberty International Airport
NEWPORT_NEWS,Newport News
NEW_BRUNSWIC,New Brunswick Amtrak Station
NEW_CARROLLT,New Carrollton Amtrak Station
NEW_ROCHELLE,New Rochelle Amtrak Station
NHV,New Haven Union Station
NLC,New London
NORFOLK,Norfolk
NORTHAMPTON,Northampton
NYP,New York Penn
OSB,Old Saybrook
PETERSBURG_A,Petersburg Amtrak Station
PHILADELPHIA,Philadelphia
PRINCETON_JU,Princeton Junction Amtrak Station
PROVIDENCE,Providence
QUANTICO_AMT,Quantico Amtrak
RANDOLPH_AMT,Randolph Amtrak
RICHMOND_MAI,Richmond Main Street Amtrak Station
RICHMOND_STA,Richmond Staples Mill Road Amtrak Station
ROANOKE,Roanoke
ROUTE_128_AM,Route 128 Amtrak Station
SPG,Springfield
STM,Stamford
STS,New Haven State Street
ST_ALBANS_AM,St. Albans Amtrak Station
TRENTON,Trenton
WASHINGTON_U,Washington Union Station
WATERBURY_ST,Waterbury-Stowe Amtrak Station
WFD,Wallingford
WHITE_RIVER_,White River Junction Amtrak Station
WILLIAMSBURG,Williamsburg Amtrak Station
WILMINGTON,Wilmington
WINDSOR_MT_A,Windsor-Mt. Ascutney Amtrak
WLY,Westerly
WND,Windsor
WNL,Windsor Locks
WOODBRIDGE_A,Woodbridge Amtrak
