feed_id,stop_uid,source_stop_id,canonical_station_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station_uid,source_parent_station,in_search_scope
amtrak,amtrak:WND,WND,WND,WND,Windsor,41.852013,-72.642253,,,,true
amtrak,amtrak:ASD,ASD,ASHLAND_AMTR,ASD,Ashland Amtrak,37.759596,-77.481304,,,,false
amtrak,amtrak:BRP,BRP,BRP,BRP,Bridgeport,41.178006,-73.187539,,,,true
amtrak,amtrak:CVS,CVS,CHARLOTTESVI,CVS,Charlottesville,38.031484,-78.491684,,,,false
amtrak,amtrak:MDN,MDN,MDN,MDN,Meriden,41.539385,-72.800678,,,,true
amtrak,amtrak:LYH,LYH,LYNCHBURG,LYH,Lynchburg,37.406439,-79.156934,,,,false
amtrak,amtrak:PVD,PVD,PROVIDENCE,PVD,Providence,41.82949,-71.413478,,,,false
amtrak,amtrak:CLA,CLA,CLAREMONT_AM,CLA,Claremont Amtrak,43.36833,-72.377644,,,,false
amtrak,amtrak:RVM,RVM,RICHMOND_MAI,RVM,Richmond Main Street Amtrak Station,37.534209,-77.429512,,,,false
amtrak,amtrak:BBY,BBY,BOSTON,BBY,Boston,42.347317,-71.075828,,,,false
amtrak,amtrak:STM,STM,STM,STM,Stamford,41.04713,-73.54216,,,,true
amtrak,amtrak:ALX,ALX,ALEXANDRIA,ALX,Alexandria,38.806503,-77.06233,,,,false
amtrak,amtrak:FBG,FBG,FREDERICKSBU,FBG,Fredericksburg Amtrak,38.298413,-77.457203,,,,false
amtrak,amtrak:BER,BER,BER,BER,Berlin,41.635595,-72.765274,,,,true
amtrak,amtrak:NHT,NHT,NORTHAMPTON,NHT,Northampton,42.318858,-72.626379,,,,false
amtrak,amtrak:SAB,SAB,ST_ALBANS_AM,SAB,St. Albans Amtrak Station,44.81236,-73.086191,,,,false
amtrak,amtrak:WRJ,WRJ,WHITE_RIVER_,WRJ,White River Junction Amtrak Station,43.647785,-72.317272,,,,false
amtrak,amtrak:STS,STS,STS,STS,New Haven State Street,41.305253,-72.922086,,,,true
amtrak,amtrak:RPH,RPH,RANDOLPH_AMT,RPH,Randolph Amtrak,43.922398,-72.665459,,,,false
amtrak,amtrak:NYP,NYP,NYP,NYP,New York Penn,40.750327,-73.994459,,,,true
amtrak,amtrak:WIL,WIL,WILMINGTON,WIL,Wilmington,39.737263,-75.551095,,,,false
amtrak,amtrak:BRA,BRA,BRATTLEBORO_,BRA,Brattleboro Amtrak Station,42.850849,-72.556497,,,,false
amtrak,amtrak:NBK,NBK,NEW_BRUNSWIC,NBK,New Brunswick Amtrak Station,40.496522,-74.446265,,,,false
amtrak,amtrak:NRO,NRO,NEW_ROCHELLE,NRO,New Rochelle Amtrak Station,40.911451,-73.784329,,,,false
amtrak,amtrak:SPG,SPG,SPG,SPG,Springfield,42.105987,-72.592905,,,,true
amtrak,amtrak:RVR,RVR,RICHMOND_STA,RVR,Richmond Staples Mill Road Amtrak Station,37.617693,-77.496943,,,,false
amtrak,amtrak:KIN,KIN,KINGSTON_AMT,KIN,Kingston Amtrak Station,41.483959,-71.560597,,,,false
amtrak,amtrak:WDB,WDB,WOODBRIDGE_A,WDB,Woodbridge Amtrak,38.658915,-77.247852,,,,false
amtrak,amtrak:BOS,BOS,BOSTON,BOS,Boston,42.352311,-71.055304,,,,false
amtrak,amtrak:EWR,EWR,NEWARK_LIBER,EWR,Newark Liberty International Airport,40.696618,-74.18229,,,,false
amtrak,amtrak:MPR,MPR,MONTPELIER_B,MPR,Montpelier-Berlin Amtrak Station,44.255749,-72.606394,,,,false
amtrak,amtrak:ABE,ABE,ABERDEEN_AMT,ABE,Aberdeen Amtrak Station,39.508447,-76.16326,,,,false
amtrak,amtrak:QAN,QAN,QUANTICO_AMT,QAN,Quantico Amtrak,38.521882,-77.293027,,,,false
amtrak,amtrak:NLC,NLC,NLC,NLC,New London,41.354267,-72.093225,,,,true
amtrak,amtrak:WBG,WBG,WILLIAMSBURG,WBG,Williamsburg Amtrak Station,37.276414,-76.708564,,,,false
amtrak,amtrak:RTE,RTE,ROUTE_128_AM,RTE,Route 128 Amtrak Station,42.210242,-71.147894,,,,false
amtrak,amtrak:HLK,HLK,HOLYOKE_AMTR,HLK,Holyoke Amtrak,42.204156,-72.602309,,,,false
amtrak,amtrak:NRK,NRK,NEWARK_AMTRA,NRK,Newark Amtrak,39.669686,-75.753513,,,,false
amtrak,amtrak:TRE,TRE,TRENTON,TRE,Trenton,40.219011,-74.75444,,,,false
amtrak,amtrak:HFD,HFD,HFD,HFD,Hartford,41.768761,-72.681314,,,,true
