feed_id,trip_uid,source_trip_id,route_uid,source_route_id,service_uid,source_service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_uid,source_shape_id,operator_name,service_name,route_name
hartford,hartford:12020,12020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4462,0,4462,hartford:shp-HART-04,shp-HART-04,CTrail,Hartford Line,Hartford Line
hartford,hartford:13010,13010,hartford:HART,HART,hartford:1,1,Northbound to Hartford,CTrail 6456,0,6456,hartford:shp-HART-11,shp-HART-11,CTrail,Hartford Line,Hartford Line
hartford,hartford:15010,15010,hartford:HART,HART,hartford:1,1,Northbound to Hartford,CTrail 6458,0,6458,hartford:shp-HART-06,shp-HART-06,CTrail,Hartford Line,Hartford Line
hartford,hartford:21020,21020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4406,0,4406,hartford:shp-HART-01,shp-HART-01,CTrail,Hartford Line,Hartford Line
hartford,hartford:20020,20020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4452,0,4452,hartford:shp-HART-02,shp-HART-02,CTrail,Hartford Line,Hartford Line
hartford,hartford:30020,30020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4400,0,4400,hartford:shp-HART-17,shp-HART-17,CTrail,Hartford Line,Hartford Line
hartford,hartford:3020,3020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4450,0,4450,hartford:shp-HART-14,shp-HART-14,CTrail,Hartford Line,Hartford Line
hartford,hartford:32020,32020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4404,0,4404,hartford:shp-HART-07,shp-HART-07,CTrail,Hartford Line,Hartford Line
hartford,hartford:7020,7020,hartford:HART,HART,hartford:2,2,Northbound to Hartford,CTrail 4458,0,4458,hartford:shp-HART-12,shp-HART-12,CTrail,Hartford Line,Hartford Line
hartford,hartford:5010,5010,hartford:HART,HART,hartford:1,1,Northbound to Springfield,CTrail 6410,0,6410,hartford:shp-HART-13,shp-HART-13,CTrail,Hartford Line,Hartford Line
hartford,hartford:37010,37010,hartford:HART,HART,hartford:1,1,Northbound to Springfield,CTrail 6402,0,6402,hartford:shp-HART-10,shp-HART-10,CTrail,Hartford Line,Hartford Line
hartford,hartford:35020,35020,hartford:HART,HART,hartford:2,2,Northbound to Springfield,CTrail 4406B,0,4406B,hartford:shp-HART-24,shp-HART-24,CTrail,Hartford Line,Hartford Line
hartford,hartford:2010,2010,hartford:HART,HART,hartford:1,1,Northbound to Springfield,CTrail 6454,0,6454,hartford:shp-HART-08,shp-HART-08,CTrail,Hartford Line,Hartford Line
hartford,hartford:26020,26020,hartford:HART,HART,hartford:2,2,Northbound to Springfield,CTrail 4400B,0,4400B,hartford:shp-HART-23,shp-HART-23,CTrail,Hartford Line,Hartford Line
hartford,hartford:18010,18010,hartford:HART,HART,hartford:1,1,Northbound to Springfield,CTrail 6400,0,6400,hartford:shp-HART-05,shp-HART-05,CTrail,Hartford Line,Hartford Line
hartford,hartford:19020,19020,hartford:HART,HART,hartford:2,2,Northbound to Springfield,CTrail 4414,0,4414,hartford:shp-HART-09,shp-HART-09,CTrail,Hartford Line,Hartford Line
