canonical_station_id,station_name
ANS,Ansonia
BCF,Beacon Falls
BRP,Bridgeport
BTH,Bethel
BVL,Branchville
CND,Cannondale
COB,Cos Cob
DAN,Danbury
DAR,Darien
DBY,Derby-Shelton
ENW,East Norwalk
FFB,Fairfield-Black Rock
FFD,Fairfield
FOR,Fordham
GCT,Grand Central
GLB,Glenbrook
GNF,Green's Farms
GRE,Greenwich
H125,Harlem-125th St.
HAR,Harrison
LAR,Larchmont
MAM,Mamaroneck
MIL,Milford
MRT7,Merritt 7
MVE,Mount Vernon East
NAU,Naugatuck
NCN,New Canaan
NHV,New Haven Union Station
NRO,New Rochelle
NTH,Noroton Heights
OGW,Old Greenwich
PEL,Pelham
POR,Port Chester
RDG,Redding
RIV,Riverside
ROW,Rowayton
RYE,Rye
SEY,Seymour
SFD,Stratford
SONO,South Norwalk
SOP,Southport
SPD,Springdale
STM,Stamford
STS,New Haven State Street
TMH,Talmadge Hill
WBY,Waterbury
WHA,West Haven
WILTON,Wilton
WPT,Westport
YANKEES,Yankees-E 153 St
