feed_id,trip_uid,source_trip_id,stop_uid,source_stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,note_id
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:112,112,06:59:00,06:59:00,1,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:111,111,07:02:00,07:02:00,2,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:110,110,07:06:00,07:06:00,3,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:108,108,07:10:00,07:10:00,4,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:106,106,07:14:00,07:14:00,5,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:105,105,07:16:00,07:16:00,6,0,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:4,4,07:31:00,07:31:00,7,1,0,
mnr,mnr:246127124612732+2281990+1,246127124612732+2281990+1,mnr:1,1,07:46:00,07:46:00,8,0,0,
mnr,mnr:246127124612732+2281994+1,246127124612732+2281994+1,mnr:112,112,07:28:00,07:28:00,1,0,0,
mnr,mnr:246127124612732+2281994+1,246127124612732+2281994+1,mnr:111,111,07:31:00,07:31:00,2,0,0,
mnr,mnr:246127124612732+2281994+1,246127124612732+2281994+1,mnr:110,110,07:36:00,07:36:00,3,0,0,
mnr,mnr:246127124612732+2281994+1,246127124612732+2281994+1,mnr:1,1,08:12:00,08:12:00,4,0,0,
mnr,mnr:246127124612732+2281998+1,246127124612732+2281998+1,mnr:108,108,07:46:00,07:46:00,1,0,0,
mnr,mnr:246127124612732+2281998+1,246127124612732+2281998+1,mnr:106,106,07:51:00,07:51:00,2,0,0,
mnr,mnr:246127124612732+2281998+1,246127124612732+2281998+1,mnr:105,105,07:53:00,07:53:00,3,0,0,
mnr,mnr:246127124612732+2281998+1,246127124612732+2281998+1,mnr:4,4,08:09:00,08:09:00,4,1,0,
mnr,mnr:246127124612732+2281998+1,246127124612732+2281998+1,mnr:1,1,08:23:00,08:23:00,5,0,0,
mnr,mnr:246127124612732+2282003+1,246127124612732+2282003+1,mnr:108,108,08:18:00,08:18:00,1,0,0,
mnr,mnr:246127124612732+2282003+1,246127124612732+2282003+1,mnr:106,106,08:21:00,08:21:00,2,0,0,
mnr,mnr:246127124612732+2282003+1,246127124612732+2282003+1,mnr:105,105,08:24:00,08:24:00,3,0,0,
mnr,mnr:246127124612732+2282003+1,246127124612732+2282003+1,mnr:4,4,08:38:00,08:38:00,4,1,0,
mnr,mnr:246127124612732+2282003+1,246127124612732+2282003+1,mnr:1,1,08:51:00,08:51:00,5,0,0,
mnr,mnr:246127124612732+2282006+1,246127124612732+2282006+1,mnr:112,112,08:13:00,08:13:00,1,0,0,
mnr,mnr:246127124612732+2282006+1,246127124612732+2282006+1,mnr:111,111,08:16:00,08:16:00,2,0,0,
mnr,mnr:246127124612732+2282006+1,246127124612732+2282006+1,mnr:110,110,08:20:00,08:20:00,3,0,0,
mnr,mnr:246127124612732+2282006+1,246127124612732+2282006+1,mnr:4,4,08:41:00,08:41:00,4,1,0,
mnr,mnr:246127124612732+2282006+1,246127124612732+2282006+1,mnr:1,1,08:54:00,08:54:00,5,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:112,112,08:36:00,08:36:00,1,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:111,111,08:39:00,08:39:00,2,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:110,110,08:43:00,08:43:00,3,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:108,108,08:46:00,08:46:00,4,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:106,106,08:50:00,08:50:00,5,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:105,105,08:53:00,08:53:00,6,0,0,
mnr,mnr:246127124612732+2282009+1,246127124612732+2282009+1,mnr:1,1,09:20:00,09:20:00,7,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:112,112,08:49:00,08:49:00,1,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:111,111,08:52:00,08:52:00,2,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:110,110,08:56:00,08:56:00,3,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:108,108,09:00:00,09:00:00,4,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:106,106,09:04:00,09:04:00,5,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:105,105,09:07:00,09:07:00,6,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:56,56,09:15:00,09:15:00,7,0,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:4,4,09:23:00,09:23:00,8,1,0,
mnr,mnr:246127124612732+2282013+1,246127124612732+2282013+1,mnr:1,1,09:36:00,09:36:00,9,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:112,112,09:26:00,09:26:00,1,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:111,111,09:29:00,09:29:00,2,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:110,110,09:33:00,09:33:00,3,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:108,108,09:37:00,09:37:00,4,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:106,106,09:41:00,09:41:00,5,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:105,105,09:44:00,09:44:00,6,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:56,56,09:55:00,09:55:00,7,0,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:4,4,10:03:00,10:03:00,8,1,0,
mnr,mnr:246127124612732+2282017+0,246127124612732+2282017+0,mnr:1,1,10:15:00,10:15:00,9,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:112,112,09:50:00,09:50:00,1,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:111,111,09:53:00,09:53:00,2,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:110,110,09:57:00,09:57:00,3,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:108,108,10:01:00,10:01:00,4,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:106,106,10:05:00,10:05:00,5,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:105,105,10:08:00,10:08:00,6,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:56,56,10:18:00,10:18:00,7,0,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:4,4,10:27:00,10:27:00,8,1,0,
mnr,mnr:246127124612732+2282021+0,246127124612732+2282021+0,mnr:1,1,10:38:00,10:38:00,9,0,0,
mnr,mnr:246127124612732+2282025+1,246127124612732+2282025+1,mnr:1,1,16:04:00,16:04:00,1,0,0,
mnr,mnr:246127124612732+2282025+1,246127124612732+2282025+1,mnr:4,4,16:14:00,16:14:00,2,0,1,
mnr,mnr:246127124612732+2282025+1,246127124612732+2282025+1,mnr:105,105,16:27:00,16:27:00,3,0,0,
mnr,mnr:246127124612732+2282025+1,246127124612732+2282025+1,mnr:106,106,16:30:00,16:30:00,4,0,0,
mnr,mnr:246127124612732+2282025+1,246127124612732+2282025+1,mnr:108,108,16:33:00,16:33:00,5,0,0,
