feed_id,trip_uid,source_trip_id,stop_uid,source_stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,note_id
sle,sle:185910,185910,sle:OSB,OSB,6:18:00,6:18:00,1,0,0,
sle,sle:185910,185910,sle:WSB,WSB,6:23:00,6:23:00,2,0,0,
sle,sle:185910,185910,sle:CLN,CLN,6:28:00,6:28:00,3,0,0,
sle,sle:185910,185910,sle:MDS,MDS,6:33:00,6:33:00,4,0,0,
sle,sle:185910,185910,sle:GUI,GUI,6:39:00,6:39:00,5,0,0,
sle,sle:185910,185910,sle:BNF,BNF,6:47:00,6:47:00,6,0,0,
sle,sle:185910,185910,sle:STS,STS,7:00:00,7:00:00,7,0,0,
sle,sle:185910,185910,sle:NHV,NHV,7:03:00,7:06:00,8,0,0,
sle,sle:185910,185910,sle:BRP,BRP,7:27:00,7:27:00,9,0,0,
sle,sle:185910,185910,sle:STM,STM,7:53:00,7:53:00,10,0,0,
sle,sle:185952,185952,sle:NHV,NHV,4:25:00,4:25:00,1,0,0,
sle,sle:185952,185952,sle:BNF,BNF,4:37:00,4:37:00,2,0,0,
sle,sle:185952,185952,sle:GUI,GUI,4:44:00,4:44:00,3,0,0,
sle,sle:185952,185952,sle:MDS,MDS,4:48:00,4:48:00,4,0,0,
sle,sle:185952,185952,sle:CLN,CLN,4:51:00,4:51:00,5,0,0,
sle,sle:185952,185952,sle:WSB,WSB,4:55:00,4:55:00,6,0,0,
sle,sle:185952,185952,sle:OSB,OSB,5:00:00,5:00:00,7,1,0,
sle,sle:185953,185953,sle:NHV,NHV,4:45:00,4:45:00,1,0,0,
sle,sle:185953,185953,sle:BNF,BNF,4:59:00,4:59:00,2,0,0,
sle,sle:185953,185953,sle:GUI,GUI,5:07:00,5:07:00,3,0,0,
sle,sle:185953,185953,sle:MDS,MDS,5:12:00,5:12:00,4,0,0,
sle,sle:185953,185953,sle:CLN,CLN,5:15:00,5:15:00,5,0,0,
sle,sle:185953,185953,sle:WSB,WSB,5:19:00,5:19:00,6,0,0,
sle,sle:185953,185953,sle:OSB,OSB,5:25:00,5:25:00,7,0,0,
sle,sle:185954,185954,sle:NHV,NHV,4:55:00,4:55:00,1,0,0,
sle,sle:185954,185954,sle:BNF,BNF,5:07:00,5:07:00,2,0,0,
sle,sle:185954,185954,sle:GUI,GUI,5:15:00,5:15:00,3,0,0,
sle,sle:185954,185954,sle:MDS,MDS,5:19:00,5:19:00,4,0,0,
sle,sle:185954,185954,sle:CLN,CLN,5:22:00,5:22:00,5,0,0,
sle,sle:185954,185954,sle:WSB,WSB,5:26:00,5:26:00,6,0,0,
sle,sle:185954,185954,sle:OSB,OSB,5:35:00,5:35:00,7,0,0,
sle,sle:185955,185955,sle:OSB,OSB,19:00:00,19:00:00,1,0,0,
sle,sle:185955,185955,sle:NHV,NHV,19:37:00,19:37:00,2,0,0,
