agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,GCT,Grand Central,1,09:05,09:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,STM,Stamford,2,09:56,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,STM,Stamford,3,,10:03,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,GLB,Glenbrook,4,10:07,10:07,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,SPD,Springdale,5,10:10,10:10,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,TMH,Talmadge Hill,6,10:14,10:14,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1516,From Grand Central,NCN,New Canaan,7,10:21,10:21,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,GCT,Grand Central,1,10:04,10:04,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,STM,Stamford,2,10:10,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,STM,Stamford,3,,11:01,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,GLB,Glenbrook,4,11:05,11:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,SPD,Springdale,5,11:08,11:08,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1518,From Grand Central,TMH,Talmadge Hill,6,11:12,11:12,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
