agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
CTrail,Shore Line East,Shore Line East,1600,To New London,NHV,New Haven,1,04:25,04:25,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,NHV,New Haven,2,04:27,04:27,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,BRA,Branford,3,04:38,04:38,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,GUI,Guilford,4,04:46,04:46,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,MAD,Madison,5,04:51,04:51,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,CLIN,Clinton,6,04:56,04:56,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,WBK,Westbrook,7,05:01,05:01,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,OSB,Old Saybrook,8,05:08,05:08,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1600,To New London,NLC,New London,9,05:30,05:30,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271226; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,NHV,New Haven,1,05:12,05:12,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,NHV,New Haven,2,05:14,05:14,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,BRA,Branford,3,05:25,05:25,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,GUI,Guilford,4,05:31,05:31,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,MAD,Madison,5,05:38,05:38,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,CLIN,Clinton,6,05:43,05:43,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
CTrail,Shore Line East,Shore Line East,1602,To New London,WBK,Westbrook,7,05:48,05:48,2026-07-20,2027-07-19,,weekday,2026-07-20,2026-07-25,,GTFS.zip,sle_gtfs_effective_2026-07-19_updated_2026-07-24.zip,0,To New London; GTFS; gtfs_trip_id=271229; gtfs_service_id=306262007200; source_origin=New Haven; source_destination=New London
