trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
182346,20:10:00,20:10:00,CHI,1,0,0,1
182346,20:32:00,20:32:00,SMT,2,0,0,1
182346,21:00:00,21:00:00,JOL,3,0,0,1
182346,21:38:00,21:38:00,PON,4,0,0,1
182346,22:16:00,22:19:00,BNL,5,0,0,1
182346,22:47:00,22:47:00,LCN,6,0,0,1
182346,23:16:00,23:19:00,SPI,7,0,0,1
182346,24:20:00,24:22:00,ALN,8,0,0,1
182346,25:09:00,25:09:00,STL,9,0,0,1
182362,20:35:00,20:35:00,MKE,1,0,0,1
182362,20:44:00,20:45:00,MKA,2,0,0,1
182362,20:57:00,20:58:00,SVT,3,0,0,1
182362,21:35:00,21:36:00,GLN,4,0,0,1
182362,22:04:00,22:04:00,CHI,5,0,0,1
182412,17:15:00,17:15:00,CDL,1,0,0,1
182412,17:36:00,17:36:00,DQN,2,0,0,1
182412,18:07:00,18:08:00,CEN,3,0,0,1
182412,18:53:00,18:54:00,EFG,4,0,0,1
182412,19:18:00,19:19:00,MAT,5,0,0,1
182412,20:05:00,20:08:00,CHM,6,0,0,1
182412,20:23:00,20:24:00,RTL,7,0,0,1
182412,20:50:00,20:51:00,GLM,8,0,0,1
182412,21:14:00,21:14:00,KKI,9,0,0,1
182412,21:55:00,21:55:00,HMW,10,1,0,1
182412,22:45:00,22:45:00,CHI,11,0,0,1
182413,17:05:00,17:05:00,CHI,1,0,1,1
182413,17:46:00,17:46:00,HMW,2,0,0,1
182413,18:15:00,18:15:00,KKI,3,0,0,1
182413,18:40:00,18:40:00,GLM,4,0,0,1
182413,19:08:00,19:08:00,RTL,5,0,0,1
182413,19:36:00,19:36:00,CHM,6,0,0,1
182413,20:23:00,20:23:00,MAT,7,0,0,1
182413,20:47:00,20:47:00,EFG,8,0,0,1
182413,21:34:00,21:34:00,CEN,9,0,0,1
182413,22:07:00,22:07:00,DQN,10,0,0,1
182413,22:35:00,22:35:00,CDL,11,0,0,1
184033,22:15:00,22:15:00,LAX,1,0,0,1
184033,24:30:00,24:35:00,BFD,2,0,0,1
184033,26:10:00,26:10:00,HNF,3,1,0,1
184033,26:59:00,26:59:00,FNO,4,0,0,1
185787,12:40:00,12:40:00,WAS,1,0,0,1
185787,12:50:00,12:50:00,NCR,2,0,0,1
185787,12:58:00,12:58:00,BWE,3,0,0,1
185787,13:04:00,13:04:00,OTN,4,0,0,1
185787,13:15:00,13:15:00,BWI,5,0,0,1
185787,13:20:00,13:20:00,HAE,6,0,0,1
185787,13:27:00,13:27:00,WBL,7,0,0,1
185787,13:40:00,13:40:00,BAL,8,0,0,1
185795,15:30:00,15:30:00,WAS,1,0,0,1
185795,15:41:00,15:41:00,NCR,2,0,0,1
185795,15:49:00,15:49:00,BWE,3,0,0,1
185795,15:55:00,15:55:00,OTN,4,0,0,1
185795,16:03:00,16:03:00,BWI,5,0,0,1
185795,16:09:00,16:09:00,HAE,6,0,0,1
185795,16:15:00,16:15:00,WBL,7,0,0,1
185795,16:35:00,16:35:00,BAL,8,0,0,1
185804,17:30:00,17:30:00,BAL,1,0,0,1
185804,17:36:00,17:36:00,WBL,2,0,0,1
185804,17:40:00,17:40:00,HAE,3,0,0,1
185804,17:45:00,17:45:00,BWI,4,0,0,1
185804,17:54:00,17:54:00,OTN,5,0,0,1
185804,18:00:00,18:00:00,BWE,6,0,0,1
185804,18:08:00,18:08:00,NCR,7,0,0,1
185804,18:30:00,18:30:00,WAS,8,0,0,1
185852,17:20:00,17:20:00,WAS,1,0,0,1
185852,17:44:00,17:44:00,BWI,2,0,0,1
185852,17:54:00,17:54:00,HAE,3,0,0,1
185852,18:03:00,18:03:00,WBL,4,0,0,1
185852,18:07:00,18:12:00,BAL,5,0,0,1
185852,18:23:00,18:23:00,MSA,6,0,0,1
185852,18:34:00,18:34:00,EDG,7,1,0,1
185852,18:49:00,18:49:00,ABE,8,1,0,1
185852,19:02:00,19:02:00,PRV,9,0,0,1
185910,6:18:00,6:18:00,OSB,1,0,0,1
185910,6:23:00,6:23:00,WSB,2,0,0,1
185910,6:28:00,6:28:00,CLN,3,0,0,1
185910,6:33:00,6:33:00,MDS,4,0,0,1
185910,6:39:00,6:39:00,GUI,5,0,0,1
185910,6:47:00,6:47:00,BNF,6,0,0,1
185910,7:00:00,7:00:00,STS,7,0,0,1
185910,7:03:00,7:06:00,NHV,8,0,0,1
185910,7:27:00,7:27:00,BRP,9,0,0,1
185910,7:53:00,7:53:00,STM,10,0,0,1
185917,17:02:00,17:02:00,NHV,1,0,0,1
185917,17:16:00,17:16:00,BNF,2,0,0,1
185917,17:23:00,17:23:00,GUI,3,0,0,1
185917,17:29:00,17:29:00,MDS,4,0,0,1
185917,17:34:00,17:34:00,CLN,5,0,0,1
185917,17:39:00,17:39:00,WSB,6,0,0,1
185917,17:47:00,17:47:00,OSB,7,0,0,1
185933,8:30:00,8:30:00,MSA,1,0,1,1
185933,8:52:00,8:55:00,BAL,2,0,0,1
185933,9:02:00,9:02:00,WBL,3,0,0,1
185933,9:08:00,9:08:00,HAE,4,0,0,1
185933,9:15:00,9:15:00,BWI,5,0,0,1
185933,9:22:00,9:22:00,OTN,6,0,0,1
185933,9:28:00,9:28:00,BWE,7,0,0,1
185933,9:36:00,9:36:00,NCR,8,1,0,1
185933,9:55:00,9:55:00,WAS,9,0,0,1
185935,10:30:00,10:30:00,MSA,1,0,0,1
185935,10:52:00,11:00:00,BAL,2,0,0,1
185935,11:07:00,11:07:00,WBL,3,0,0,1
185935,11:13:00,11:13:00,HAE,4,0,0,1
185935,11:20:00,11:20:00,BWI,5,0,0,1
185935,11:27:00,11:27:00,OTN,6,0,0,1
185935,11:33:00,11:33:00,BWE,7,0,0,1
185935,11:51:00,11:51:00,NCR,8,1,0,1
185935,12:02:00,12:02:00,WAS,9,0,0,1
185936,10:45:00,10:45:00,MSA,1,0,0,1
