stop_id,stop_code,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
ABE,ABE,Aberdeen Amtrak Station,https://www.amtrak.com/stations/abe,America/New_York,39.508447,-76.16326
ABQ,ABQ,Albuquerque Alvarado Transportation Center,https://www.amtrak.com/stations/abq,America/Denver,35.082061,-106.647975
ACD,ACD,Arcadia Valley Station,https://www.amtrak.com/stations/acd,America/Chicago,37.592161,-90.624403
ADM,ADM,Ardmore Amtrak Station,https://www.amtrak.com/stations/adm,America/Chicago,34.172465,-97.12551
AKY,AKY,Ashland Amtrak Station,https://www.amtrak.com/stations/aky,America/New_York,38.480875,-82.639603
ALB,ALB,Albany-Rensselaer Amtrak Station,https://www.amtrak.com/stations/alb,America/New_York,42.641029,-73.741147
ALC,ALC,Alliance Amtrak,https://www.amtrak.com/stations/alc,America/New_York,40.921275,-81.092904
ALD,ALD,Alderson Amtrak,https://www.amtrak.com/stations/ald,America/New_York,37.724277,-80.644856
ALI,ALI,Albion,https://www.amtrak.com/stations/ali,America/New_York,42.247196,-84.755814
ALN,ALN,Alton Amtrak Station,https://www.amtrak.com/stations/aln,America/Chicago,38.921007,-90.157298
ALP,ALP,Alpine Amtrak Station,https://www.amtrak.com/stations/alp,America/Chicago,30.357302,-103.661513
ALT,ALT,Altoona Amtrak Station,https://www.amtrak.com/stations/alt,America/New_York,40.514475,-78.40162
ALX,ALX,Alexandria,https://www.amtrak.com/stations/alx,America/New_York,38.806503,-77.06233
ALY,ALY,Albany Amtrak Station,https://www.amtrak.com/stations/aly,America/Los_Angeles,44.630464,-123.102774
AMS,AMS,Amsterdam Amtrak Station,https://www.amtrak.com/stations/ams,America/New_York,42.953719,-74.2195
ANA,ANA,Anaheim,https://www.amtrak.com/stations/ana,America/Los_Angeles,33.803803,-117.877308
ARB,ARB,Ann Arbor Amtrak Station,https://www.amtrak.com/stations/arb,America/New_York,42.287692,-83.743154
ARC,ARC,Arcata,https://www.amtrak.com/stations/arc,America/Los_Angeles,40.868633,-124.083805
ARD,ARD,Ardmore Amtrak Station,https://www.amtrak.com/stations/ard,America/New_York,40.008278,-75.290399
ARK,ARK,Arkadelphia Amtrak Station,https://www.amtrak.com/stations/ark,America/Chicago,34.113919,-93.053284
ARN,ARN,Auburn Amtrak,https://www.amtrak.com/stations/arn,America/Los_Angeles,38.903638,-121.083187
ASD,ASD,Ashland Amtrak,https://www.amtrak.com/stations/asd,America/New_York,37.759596,-77.481304
ATL,ATL,Atlanta,https://www.amtrak.com/stations/atl,America/New_York,33.799445,-84.392477
ATN,ATN,Anniston Amtrak Station,https://www.amtrak.com/stations/atn,America/Chicago,33.649112,-85.832145
AUS,AUS,Austin,https://www.amtrak.com/stations/aus,America/Chicago,30.269449,-97.75694
BAL,BAL,Baltimore Penn Station,https://www.amtrak.com/stations/bal,America/New_York,39.307302,-76.615688
BAM,BAM,Bangor Amtrak Station,https://www.amtrak.com/stations/bam,America/New_York,42.314519,-86.111646
BAR,BAR,Barstow,https://www.amtrak.com/stations/bar,America/Los_Angeles,34.90482,-117.025435
BBS,BBS,Barstow Amtrak Bus Stop,https://www.amtrak.com/stations/bbs,America/Los_Angeles,34.891277,-116.998434
BBY,BBY,Boston,https://www.amtrak.com/stations/bby,America/New_York,42.347317,-71.075828
BCV,BCV,Burke Centre Amtrak,https://www.amtrak.com/stations/bcv,America/New_York,38.797271,-77.29879
BDT,BDT,Bradenton,https://www.amtrak.com/stations/bdt,America/New_York,27.528462,-82.512262
BEL,BEL,Bellingham Amtrak Station,https://www.amtrak.com/stations/bel,America/Los_Angeles,48.720263,-122.511255
BEN,BEN,Benson Amtrak,https://www.amtrak.com/stations/ben,America/Denver,31.968758,-110.296904
BER,BER,Berlin Amtrak,https://www.amtrak.com/stations/ber,America/New_York,41.635595,-72.765274
BFD,BFD,Bakersfield,https://www.amtrak.com/stations/bfd,America/Los_Angeles,35.37214,-119.00821
BFX,BFX,Buffalo,https://www.amtrak.com/stations/bfx,America/New_York,42.878449,-78.873748
BHM,BHM,Birmingham,https://www.amtrak.com/stations/bhm,America/Chicago,33.512937,-86.807023
BKY,BKY,Berkeley Amtrak,https://www.amtrak.com/stations/bky,America/Los_Angeles,37.867254,-122.300707
BLF,BLF,Bellows Falls Amtrak Station,https://www.amtrak.com/stations/blf,America/New_York,43.13654,-72.444597
BMT,BMT,Beaumont Amtrak,https://www.amtrak.com/stations/bmt,America/Chicago,30.076458,-94.127367
BNC,BNC,Burlington Amtrak Station,https://www.amtrak.com/stations/bnc,America/New_York,36.094225,-79.434531
BNG,BNG,Bingen-White Salmon Amtrak,https://www.amtrak.com/stations/bng,America/Los_Angeles,45.71502,-121.46873
BNL,BNL,Bloomington-Normal,https://www.amtrak.com/stations/bnl,America/Chicago,40.50901,-88.984306
BON,BON,Boston,https://www.amtrak.com/stations/bon,America/New_York,42.366235,-71.061122
BOS,BOS,Boston,https://www.amtrak.com/stations/bos,America/New_York,42.352311,-71.055304
BRA,BRA,Brattleboro Amtrak Station,https://www.amtrak.com/stations/bra,America/New_York,42.850849,-72.556497
BRH,BRH,Brookhaven Amtrak Station,https://www.amtrak.com/stations/brh,America/Chicago,31.582961,-90.44107
BRK,BRK,Brunswick Amtrak Station,https://www.amtrak.com/stations/brk,America/New_York,43.911388,-69.965541
BRL,BRL,Burlington Amtrak Station,https://www.amtrak.com/stations/brl,America/Chicago,40.805788,-91.101951
BRO,BRO,Browning Amtrak,https://www.amtrak.com/stations/bro,America/Denver,48.534067,-113.013151
BRP,BRP,Bridgeport Amtrak Station,https://www.amtrak.com/stations/brp,America/New_York,41.178006,-73.187539
BTL,BTL,Battle Creek,https://www.amtrak.com/stations/btl,America/New_York,42.318453,-85.187825
BUF,BUF,Buffalo Depew Station,https://www.amtrak.com/stations/buf,America/New_York,42.907017,-78.726584
BUL,BUL,Buellton Amtrak Bus Stop,https://www.amtrak.com/stations/bul,America/Los_Angeles,34.61066,-120.186595
BUR,BUR,Burbank Amtrak,https://www.amtrak.com/stations/bur,America/Los_Angeles,34.193072,-118.353767
BWI,BWI,Bwi Thurgood Marshall Airport Station,https://www.amtrak.com/stations/bwi,America/New_York,39.192362,-76.6943
BYN,BYN,Bryan Amtrak Station,https://www.amtrak.com/stations/byn,America/New_York,41.480319,-84.551799
CAM,CAM,Camden Amtrak Station,https://www.amtrak.com/stations/cam,America/New_York,34.248157,-80.62519
CBR,CBR,Cleburne Amtrak Station,https://www.amtrak.com/stations/cbr,America/Chicago,32.349743,-97.382333
CBS,CBS,Columbus Amtrak Station,https://www.amtrak.com/stations/cbs,America/Chicago,43.340611,-89.012609
CBZ,CBZ,Cabazon Amtrak Bus Stop,https://www.amtrak.com/stations/cbz,America/Los_Angeles,33.921492,-116.798713
CDL,CDL,Carbondale,https://www.amtrak.com/stations/cdl,America/Chicago,37.724235,-89.216628
CEN,CEN,Centralia Amtrak Station,https://www.amtrak.com/stations/cen,America/Chicago,38.527531,-89.136118
CHI,CHI,Chicago Union Station,https://www.amtrak.com/stations/chi,America/Chicago,41.878684,-87.639443
CHM,CHM,Champaign-Urbana,https://www.amtrak.com/stations/chm,America/Chicago,40.115843,-88.241366
CHS,CHS,Charleston Amtrak Station,https://www.amtrak.com/stations/chs,America/New_York,32.875473,-79.998048
CHW,CHW,Charleston,https://www.amtrak.com/stations/chw,America/New_York,38.346368,-81.638494
CIC,CIC,Chico Amtrak,https://www.amtrak.com/stations/cic,America/Los_Angeles,39.723259,-121.845861
CIN,CIN,Cincinnati Union Terminal,https://www.amtrak.com/stations/cin,America/New_York,39.109927,-84.537061
CLA,CLA,Claremont Amtrak,https://www.amtrak.com/stations/cla,America/New_York,43.36833,-72.377644
CLB,CLB,Columbia Amtrak Station,https://www.amtrak.com/stations/clb,America/New_York,33.994297,-81.04049
CLE,CLE,Cleveland,https://www.amtrak.com/stations/cle,America/New_York,41.505787,-81.696172
CLF,CLF,Clifton Forge Amtrak Station,https://www.amtrak.com/stations/clf,America/New_York,37.814521,-79.827363
CLM,CLM,Claremont Amtrak Station,https://www.amtrak.com/stations/clm,America/Los_Angeles,34.094469,-117.716857
CLP,CLP,Culpeper Amtrak Station,https://www.amtrak.com/stations/clp,America/New_York,38.47236,-77.993421
CLT,CLT,Charlotte Amtrak Station,https://www.amtrak.com/stations/clt,America/New_York,35.241403,-80.822812
CLV,CLV,Cloverdale Amtrak Bus Stop,https://www.amtrak.com/stations/clv,America/Los_Angeles,38.79811,-123.011847
CML,CML,Camarillo Amtrak,https://www.amtrak.com/stations/cml,America/Los_Angeles,34.215933,-119.034114
CMO,CMO,Chemult,https://www.amtrak.com/stations/cmo,America/Los_Angeles,43.216784,-121.781594
CNV,CNV,Castleton Amtrak Station,https://www.amtrak.com/stations/cnv,America/New_York,43.613382,-73.171337
COI,COI,Connersville Amtrak,https://www.amtrak.com/stations/coi,America/New_York,39.645969,-85.13338
COT,COT,Coatesville Amtrak,https://www.amtrak.com/stations/cot,America/New_York,39.985688,-75.820929
COV,COV,Connellsville Amtrak,https://www.amtrak.com/stations/cov,America/New_York,40.020282,-79.592813
COX,COX,Colfax Amtrak Station,https://www.amtrak.com/stations/cox,America/Los_Angeles,39.099172,-120.953075
CPN,CPN,Carpinteria Amtrak,https://www.amtrak.com/stations/cpn,America/Los_Angeles,34.39678,-119.522975
CRF,CRF,Crawfordsville Amtrak,https://www.amtrak.com/stations/crf,America/New_York,40.044705,-86.899187
CRM,CRM,Carmel Amtrak Bus Stop,https://www.amtrak.com/stations/crm,America/Los_Angeles,36.539033,-121.908797
CRN,CRN,Creston Amtrak,https://www.amtrak.com/stations/crn,America/Chicago,41.05692,-94.361617
CRT,CRT,Croton-Harmon Amtrak Station,https://www.amtrak.com/stations/crt,America/New_York,41.189903,-73.882394
