trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,19:00:00,19:00:00,1,1,"",0,0,0.00,1
1020,19:03:00,19:03:00,2,2,"",0,0,966.87,1
1020,19:21:00,19:21:00,3,3,"",0,0,21014.04,1
1020,19:32:00,19:32:00,4,4,"",0,0,30117.52,1
1020,19:41:00,19:41:00,5,5,"",0,0,41748.17,1
1020,19:54:00,19:54:00,6,6,"",0,0,58957.42,1
1020,20:02:00,20:02:00,7,7,"",0,0,69127.48,1
1020,20:11:00,20:11:00,8,8,"",0,0,76262.52,1
1020,20:36:00,20:36:00,9,9,"",0,0,99763.09,1
2010,12:30:00,12:30:00,1,1,"",0,0,0.00,1
2010,12:33:00,12:33:00,2,2,"",0,0,966.87,1
2010,12:48:00,12:48:00,3,3,"",0,0,21014.04,1
2010,12:57:00,12:57:00,4,4,"",0,0,30117.52,1
2010,13:06:00,13:06:00,5,5,"",0,0,41748.17,1
2010,13:19:00,13:19:00,6,6,"",0,0,58957.42,1
2010,13:27:00,13:27:00,7,7,"",0,0,69127.48,1
2010,13:36:00,13:36:00,8,8,"",0,0,76262.52,1
2010,14:04:00,14:04:00,9,9,"",0,0,99763.09,1
3020,05:18:00,05:18:00,1,1,"",0,0,0.00,1
3020,05:20:00,05:20:00,2,2,"",0,0,966.87,1
3020,05:36:00,05:36:00,3,3,"",0,0,21014.04,1
3020,05:45:00,05:45:00,4,4,"",0,0,30117.52,1
3020,05:54:00,05:54:00,5,5,"",0,0,41748.17,1
3020,06:10:00,06:10:00,6,6,"",0,0,58957.42,1
4020,08:44:00,08:44:00,6,1,"",0,0,0.00,1
4020,08:56:00,08:56:00,5,2,"",0,0,17226.30,1
4020,09:05:00,09:05:00,4,3,"",0,0,28876.10,1
4020,09:14:00,09:14:00,3,4,"",0,0,38000.35,1
4020,09:30:00,09:30:00,2,5,"",0,0,58064.94,1
4020,09:36:00,09:36:00,1,6,"",0,0,59028.69,1
5010,19:30:00,19:30:00,1,1,"",0,0,0.00,1
5010,19:33:00,19:33:00,2,2,"",0,0,966.87,1
5010,19:48:00,19:48:00,3,3,"",0,0,21014.04,1
5010,19:57:00,19:57:00,4,4,"",0,0,30117.52,1
5010,20:06:00,20:06:00,5,5,"",0,0,41748.17,1
5010,20:21:00,20:21:00,6,6,"",0,0,58957.42,1
5010,20:29:00,20:29:00,7,7,"",0,0,69127.48,1
5010,20:35:00,20:35:00,8,8,"",0,0,76262.52,1
5010,21:03:00,21:03:00,9,9,"",0,0,99763.09,1
6010,14:20:00,14:20:00,9,1,"",0,0,0.00,1
6010,14:41:00,14:41:00,8,2,"",0,0,23514.15,1
6010,14:48:00,14:48:00,7,3,"",0,0,30669.27,1
6010,14:59:00,14:59:00,6,4,"",0,0,40851.89,1
6010,15:11:00,15:11:00,5,5,"",0,0,58078.19,1
6010,15:20:00,15:20:00,4,6,"",0,0,69727.99,1
6010,15:29:00,15:29:00,3,7,"",0,0,78852.24,1
6010,15:45:00,15:45:00,2,8,"",0,0,98916.83,1
6010,15:52:00,15:52:00,1,9,"",0,0,99880.58,1
7020,14:15:00,14:15:00,1,1,"",0,0,0.00,1
7020,14:18:00,14:18:00,2,2,"",0,0,966.87,1
7020,14:33:00,14:33:00,3,3,"",0,0,21014.04,1
7020,14:42:00,14:42:00,4,4,"",0,0,30117.52,1
7020,14:51:00,14:51:00,5,5,"",0,0,41748.17,1
7020,15:07:00,15:07:00,6,6,"",0,0,58957.42,1
8020,13:13:00,13:13:00,9,1,"",0,0,0.00,1
8020,13:33:00,13:33:00,8,2,"",0,0,23514.15,1
8020,13:43:00,13:43:00,7,3,"",0,0,30669.27,1
8020,13:58:00,13:58:00,6,4,"",0,0,40851.89,1
9020,10:55:00,10:55:00,9,1,"",0,0,0.00,1
9020,11:15:00,11:15:00,8,2,"",0,0,23514.15,1
9020,11:25:00,11:25:00,7,3,"",0,0,30669.27,1
9020,11:40:00,11:40:00,6,4,"",0,0,40851.89,1
10020,09:20:00,09:20:00,6,1,"",0,0,0.00,1
10020,09:35:00,09:35:00,7,2,"",0,0,10170.06,1
10020,09:45:00,09:45:00,8,3,"",0,0,17305.10,1
10020,10:05:00,10:05:00,9,4,"",0,0,40805.67,1
11010,21:45:00,21:45:00,9,1,"",0,0,0.00,1
11010,22:06:00,22:06:00,8,2,"",0,0,23514.15,1
11010,22:13:00,22:13:00,7,3,"",0,0,30669.27,1
11010,22:24:00,22:24:00,6,4,"",0,0,40851.89,1
11010,22:36:00,22:36:00,5,5,"",0,0,58078.19,1
