agency_id,agency_name,agency_url,agency_timezone,agency_lang
1228,Temporary Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York,en
147,Roadrunner Shuttle,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
157,Via Rail Canada,https://www.viarail.ca,America/New_York,en
1202,Route 66 Express,http://www.amtrak.com,America/New_York,en
1207,Alvand Transportation,http://www.amtrak.com,America/New_York,en
28,Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York,en
43,Arrow Trailways,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
1213,Vegas Airporter,http://www.amtrak.com,America/New_York,en
117,Executive Transportation,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
162,Stagecoach Express,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
174,Amtrak Chartered Motorcoach,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
178,The Lift,http://www.amtrak.com,America/New_York,en
1220,Beeline Express,http://www.amtrak.com,America/New_York,en
1227,Coach Usa,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
1230,Shore Line East,http://www.amtrak.com,America/New_York,en
51,Amtrak,http://www.amtrak.com,America/New_York,en
1232,Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York,en
1233,Sunway Charters,http://www.amtrak.com,America/New_York,en
1238,MARC,http://www.amtrak.com,America/New_York,en
1239,FLIX,http://www.amtrak.com,America/New_York,en
