route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
42954,306262007200,233011,6627,0,,San Francisco
42954,312762007200,237424,6291,1,,Lakeland
42954,312762007200,237848,6292,0,,Jacksonville
42954,312762007200,237851,6048,1,,Toledo
42954,312762007200,237861,6049,0,,East Lansing
60,312762007200,238210,507,1,292,Eugene
60,312762007200,238213,509,1,293,Portland
60,312762007200,238216,508,0,289,Seattle
60,312762007200,238222,506,0,290,Seattle
60,312762007200,238231,504,0,289,Seattle
36948,312762007200,238271,316,1,257,St. Louis
43,312762007200,238576,8821,1,,Temple
43,312762007200,238581,8822,1,,Temple
43,312762007200,238587,8722,0,,Fort Cavazos
42951,312762007200,239272,300,0,254,Chicago
86,312762007200,239376,821,1,17,Fort Worth
42951,312762007200,182346,307,1,256,St. Louis
54,312762007200,182361,341,0,19,Milwaukee
54,312762007200,182362,342,1,20,Chicago
56,312762007200,182412,392,0,121,Chicago
56,312762007200,182413,393,1,122,Carbondale
36921,312762007200,240767,232,1,245,New York
42954,312762007200,241106,4104,1,,Merced
42954,312762007200,241110,4119,0,,San Jose
36921,312762007200,241687,230,1,245,New York
42954,112762847200,242223,3910,1,,Stockton
42954,112762847200,242245,3710,1,,Stockton
42954,112762847200,242252,3810,1,,Stockton
42954,212762006282,242221,3910,1,,Stockton
42954,100162836283,242222,3910,1,,Stockton
42954,212762006282,242243,3710,1,,Stockton
42954,100162836283,242244,3710,1,,Stockton
42954,212762006282,242250,3810,1,,Stockton
42954,100162836283,242251,3810,1,,Stockton
36921,312762007200,242355,235,0,248,Rensselaer
42951,312762007200,242714,305,1,256,St. Louis
42954,312762007200,243164,5702,1,,Los Angeles
42954,312762007200,243170,5802,1,,Los Angeles
42954,112762847200,243182,5810,1,,Los Angeles
42954,112762847200,243197,5710,1,,Los Angeles
42954,312762007200,243203,5712,1,,Los Angeles
42954,312762007200,243218,5912,1,,Santa Monica
42954,112762847200,243227,5910,1,,Santa Monica
42954,312762007200,243235,5716,1,,Los Angeles
42954,312762007200,243238,5812,1,,Los Angeles
42954,212762006282,243180,5810,1,,Los Angeles
42954,100162836283,243181,5810,1,,Los Angeles
42954,212762006282,243195,5710,1,,Los Angeles
42954,100162836283,243196,5710,1,,Los Angeles
42954,212762006282,243225,5910,1,,Santa Monica
42954,100162836283,243226,5910,1,,Santa Monica
42985,300262007200,243505,9453,1,,Washington
42985,300262007200,243599,9452,0,,Baltimore
42954,306562007200,243928,6065,1,,Virginia Beach
42954,306562007200,243986,6128,0,,Norfolk
42954,312762007200,244256,6121,1,,Shreveport
42954,312762007200,244265,6122,0,,Longview
42954,312762007200,244296,6421,0,,Longview
42954,312762007200,184033,5885,0,,Fresno
42985,306462007200,185787,9484,0,,Baltimore
42985,306462007200,185795,9488,0,,Baltimore
42985,306462007200,185804,9493,1,,Washington
42985,306262007200,185852,9534,0,,Perryville
42948,306262007200,185910,9633,0,,Stamford
42985,306262007200,185917,9638,1,,Old Saybrook
42985,306462007200,185933,9677,1,,Washington
42985,306462007200,185935,9681,1,,Washington
42985,306462007200,185936,9683,1,,Washington
42948,306262007200,185952,9700,1,,Old Saybrook
42948,306262007200,185953,9704,1,,Old Saybrook
42948,306262007200,185954,9706,1,,Old Saybrook
42948,306262007200,185955,9755,0,,New Haven
42948,306262007200,185956,9757,0,,New Haven
42948,306262007200,185957,9759,0,,New Haven
42948,306562007200,185958,9790,1,,Old Saybrook
23565,312762007200,189776,7104,1,,Lamy
23565,312762007200,189782,7204,0,,Los Alamos
42954,312762007200,194956,5014,1,,Emeryville
42951,312762007200,195509,301,1,256,St. Louis
42954,312762007200,207656,5874,1,,Los Angeles
42985,306462007200,211069,9478,0,,Baltimore
42985,306462007200,211073,9485,1,,Washington
42985,306462007200,211074,9486,0,,Baltimore
42985,306462007200,211078,9692,0,,Martin Airport
42985,306462007200,211081,9694,0,,Martin Airport
54,312762007200,218881,339,0,19,Milwaukee
54,312762007200,218898,337,0,19,Milwaukee
42951,312762007200,218961,302,0,254,Chicago
36926,312762007200,218964,319,1,376,Kansas City
42951,312762007200,220046,306,0,254,Chicago
42954,312762007200,222141,5713,0,,Bakersfield
42954,312762007200,222143,5715,0,,Bakersfield
42954,312762007200,222145,5815,0,,Bakersfield
42954,312762007200,222147,5813,0,,Bakersfield
42954,312762007200,222163,5817,0,,Bakersfield
42954,312762007200,222172,5811,0,,Bakersfield
42954,312762007200,222248,3865,0,,Stockton
42985,300162007200,222461,9675,1,,Washington
42985,300162007200,222468,9685,1,,Washington
42985,300162007200,222474,9494,0,,Baltimore
42985,306562007200,222476,9491,1,,Washington
42985,306562007200,222490,9495,1,,Washington
42985,300162007200,222492,9497,1,,Washington
42985,300162007200,222514,9696,0,,Martin Airport
42985,300162007200,222516,9698,0,,Martin Airport
42985,300162007200,222534,9688,0,,Martin Airport
42985,306562007200,222568,9487,1,,Washington
42985,306562007200,222570,9490,0,,Baltimore
42985,300162007200,222572,9476,0,,Baltimore
42985,300162007200,222574,9480,0,,Baltimore
42985,306562007200,222576,9482,0,,Baltimore
42985,300162007200,222578,9492,0,,Baltimore
42985,300162007200,222580,9499,1,,Washington
42985,300162007200,222582,9689,1,,Washington
42985,300162007200,222590,9481,1,,Washington
42954,312762007200,222798,3801,0,,Stockton
42954,312762007200,223317,3716,1,,Stockton
42954,312762007200,223413,6014,0,,San Francisco
54,312762007200,224561,338,1,20,Chicago
63,312762007200,225626,391,1,110,Carbondale
42954,312762007200,226448,5801,0,,Bakersfield
42954,312762007200,226938,5415,0,,Bakersfield
42954,312762007200,228161,4101,0,,San Jose
