from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246127124612734+2283871+1,246127124612734+2283874+1,1,
20,20,,,246127724612872+2283871+1,246128424612872+2283874+1,1,
20,20,,,246129824613641+2283871+1,246129824613011+2283874+1,1,
20,20,,,246129824613644+2283871+1,246129824613014+2283874+1,1,
20,20,,,246127724612873+2283871+1,246127824612803+2283876+1,1,
20,20,,,246127724612874+2283871+1,246127824612804+2283876+1,1,
20,20,,,246129824613643+2283871+1,246131224613643+2283874+1,1,
20,20,,,246130924613095+2283872+1,246127424613655+2283875+1,1,
20,20,,,246131624613655+2283873+1,246127424613655+2283875+1,1,
20,20,,,246127124612733+2283871+1,246127124612733+2283874+1,1,
20,20,,,246129824613641+2283871+1,246130524613051+2283874+1,1,
20,20,,,246129824613644+2283871+1,246130624613084+2283876+1,1,
20,20,,,246129824613644+2283871+1,246131224613644+2283874+1,1,
20,20,,,246127124612732+2283871+1,246127124612732+2283874+1,1,
20,20,,,246127724612872+2283871+1,246127824612802+2283876+1,1,
20,20,,,246129224612943+2283871+1,246129224612943+2283876+1,1,
20,20,,,246129824613643+2283871+1,246129824613013+2283874+1,1,
20,20,,,246129824613642+2283871+1,246131224613642+2283874+1,1,
20,20,,,246129824613642+2283871+1,246130624613082+2283876+1,1,
20,20,,,246130224613025+2283873+1,246127424613655+2283875+1,1,
20,20,,,246127724612871+2283871+1,246128424612871+2283874+1,1,
20,20,,,246127724612873+2283871+1,246128424612873+2283874+1,1,
20,20,,,246129824613643+2283871+1,246130624613083+2283876+1,1,
20,20,,,246129824613641+2283871+1,246131224613641+2283874+1,1,
20,20,,,246127424612815+2283872+1,246127424613655+2283875+1,1,
20,20,,,246128824612885+2283873+1,246127424613655+2283875+1,1,
20,20,,,246127724612871+2283871+1,246127724612771+2283874+1,1,
20,20,,,246127724612874+2283871+1,246128424612874+2283874+1,1,
20,20,,,246129224612942+2283871+1,246129224612942+2283876+1,1,
20,20,,,246129224612944+2283871+1,246129224612944+2283876+1,1,
20,20,,,246129824613642+2283871+1,246129824613012+2283874+1,1,
